ip,app,device,os,channel,click_time,attributed_time,is_attributed
73487,18,1,9,121,2017-11-07 14:27:13,,0
73487,1,1,19,377,2017-11-07 14:37:28,,0
58978,14,1,10,379,2017-11-07 14:32:05,,0
127359,2,1,20,377,2017-11-07 14:32:26,,0
67400,12,1,13,178,2017-11-07 14:26:05,,0
115440,15,1,13,386,2017-11-07 14:36:36,,0
93713,61,1,13,21,2017-11-07 14:27:56,,0
53479,15,1,3,278,2017-11-07 14:26:23,,0
64137,15,1,13,379,2017-11-07 14:31:19,,0
8046,3,1,19,417,2017-11-07 14:40:33,,0
166498,10,1,22,113,2017-11-07 14:34:07,,0
80827,18,1,19,107,2017-11-07 14:40:11,,0
81788,18,1,13,107,2017-11-07 14:28:24,,0
176595,2,1,13,219,2017-11-07 14:40:38,,0
58085,20,1,18,259,2017-11-07 14:24:41,,0
209198,9,2,4,234,2017-11-07 14:35:43,,0
43655,64,1,19,459,2017-11-07 14:41:42,,0
206125,2,1,15,219,2017-11-07 14:25:36,,0
184658,2,1,18,237,2017-11-07 14:28:24,,0
27646,3,1,9,280,2017-11-07 14:27:53,,0
92611,15,1,8,245,2017-11-07 14:33:46,,0
59852,12,1,19,140,2017-11-07 14:33:47,,0
138385,23,1,13,153,2017-11-07 14:35:00,,0
11645,6,1,19,459,2017-11-07 14:32:21,,0
21245,14,1,19,379,2017-11-07 14:25:11,,0
106282,15,1,13,130,2017-11-07 14:33:39,,0
164046,2,1,19,469,2017-11-07 14:35:07,,0
109159,2,1,41,258,2017-11-07 14:30:17,,0
66313,1,1,13,153,2017-11-07 14:36:21,,0
193406,12,2,19,178,2017-11-07 14:40:38,,0
159304,12,1,22,424,2017-11-07 14:35:32,,0
157263,12,1,13,205,2017-11-07 14:42:24,,0
76822,18,3032,607,107,2017-11-07 14:28:57,,0
76855,18,1,19,121,2017-11-07 14:25:55,,0
101214,12,1,13,205,2017-11-07 14:36:18,,0
10749,14,1,17,379,2017-11-07 14:33:28,,0
75415,13,1,20,469,2017-11-07 14:36:46,,0
39736,9,1,19,442,2017-11-07 14:27:25,,0
37774,12,1,14,245,2017-11-07 14:29:51,,0
100494,15,1,13,245,2017-11-07 14:31:23,,0
37919,15,1,13,245,2017-11-07 14:42:51,,0
116779,15,1,16,3,2017-11-07 14:26:01,,0
72524,64,1,39,459,2017-11-07 14:35:21,,0
176985,12,1,13,245,2017-11-07 14:25:18,,0
121806,12,1,19,205,2017-11-07 14:31:35,,0
72325,3,1,47,489,2017-11-07 14:42:43,,0
168579,8,1,13,145,2017-11-07 14:31:00,,0
73496,2,1,19,212,2017-11-07 14:35:18,,0
95199,3,1,19,489,2017-11-07 14:28:37,,0
201568,2,1,19,212,2017-11-07 14:32:00,,0
92852,18,1,19,107,2017-11-07 14:36:01,,0
78377,2,1,18,237,2017-11-07 14:37:44,,0
191846,13,1,19,477,2017-11-07 14:41:49,,0
5348,14,1,85,478,2017-11-07 14:35:24,,0
88332,64,1,19,459,2017-11-07 14:40:14,,0
21944,3,1,6,205,2017-11-07 14:25:18,,0
9671,3,1,19,417,2017-11-07 14:41:12,,0
7283,12,1,35,328,2017-11-07 14:37:35,,0
39318,2,1,10,237,2017-11-07 14:25:09,,0
26995,13,1,19,477,2017-11-07 14:34:37,,0
105456,2,2,13,205,2017-11-07 14:24:33,,0
37185,6,1,49,459,2017-11-07 14:39:52,,0
106000,13,1,10,477,2017-11-07 14:35:38,,0
129568,9,1,17,244,2017-11-07 14:27:56,,0
35313,9,1,10,334,2017-11-07 14:41:57,,0
73184,18,1,18,121,2017-11-07 14:25:29,,0
41980,1,1,13,137,2017-11-07 14:27:13,,0
199439,18,3032,607,107,2017-11-07 14:35:02,,0
50275,14,1,19,489,2017-11-07 14:41:59,,0
73487,12,1,19,259,2017-11-07 14:30:20,,0
23165,27,1,14,122,2017-11-07 14:34:45,,0
79372,13,1,41,477,2017-11-07 14:37:53,,0
29875,3,1,25,442,2017-11-07 14:34:57,,0
99897,12,1,13,259,2017-11-07 14:40:21,,0
73487,26,1,37,266,2017-11-07 14:31:40,,0
152977,1,1,13,134,2017-11-07 14:34:49,,0
72302,1,1,13,134,2017-11-07 14:31:54,,0
7346,6,1,17,459,2017-11-07 14:29:41,,0
109696,18,1,19,134,2017-11-07 14:38:59,,0
48418,12,1,6,265,2017-11-07 14:30:49,,0
194653,9,1,42,334,2017-11-07 14:29:25,,0
102280,3,1,8,137,2017-11-07 14:28:11,,0
80605,18,1,6,107,2017-11-07 14:37:14,,0
7755,12,1,9,140,2017-11-07 14:35:38,,0
