ip,app,device,os,channel,click_time,attributed_time,is_attributed
124936,18,3032,607,107,2017-11-07 11:49:53,,0
105135,12,1,13,178,2017-11-07 11:50:11,,0
89520,18,1,19,107,2017-11-07 11:38:25,,0
89167,3,1,10,417,2017-11-07 11:34:10,,0
170481,1,1,22,135,2017-11-07 11:50:49,,0
119985,15,1,13,265,2017-11-07 11:48:26,,0
12979,27,1,19,153,2017-11-07 11:41:18,,0
75403,9,1,13,489,2017-11-07 11:44:32,,0
84644,7,1,19,101,2017-11-07 11:42:09,,0
149009,3,2,49,280,2017-11-07 11:41:45,,0
71579,22,1,3,496,2017-11-07 11:45:54,,0
134757,3,1,17,424,2017-11-07 11:44:41,,0
96216,15,1,47,245,2017-11-07 11:45:59,,0
54065,15,1,28,430,2017-11-07 11:41:39,,0
65462,2,1,6,477,2017-11-07 11:41:14,,0
150330,64,1,14,459,2017-11-07 11:46:07,,0
8367,18,3032,607,107,2017-11-07 11:38:24,,0
187567,12,1,10,265,2017-11-07 11:42:02,,0
48170,15,1,10,315,2017-11-07 11:41:12,,0
123940,2,1,19,237,2017-11-07 11:41:35,,0
49383,6,1,35,459,2017-11-07 11:38:09,,0
90830,2,1,6,401,2017-11-07 11:34:27,,0
11432,20,1,13,259,2017-11-07 11:41:40,,0
58524,15,1,19,315,2017-11-07 11:38:49,,0
268,3,1,13,135,2017-11-07 11:49:37,,0
783,12,1,13,265,2017-11-07 11:50:14,,0
41334,3,1,4,205,2017-11-07 11:44:27,,0
32489,9,1,13,445,2017-11-07 11:37:23,,0
198858,14,1,19,401,2017-11-07 11:48:18,,0
84934,18,1,11,121,2017-11-07 11:34:19,,0
5074,20,1,6,259,2017-11-07 11:48:49,,0
197691,23,1,36,153,2017-11-07 11:48:56,,0
98395,3,1,19,280,2017-11-07 11:47:34,,0
92804,23,1,13,153,2017-11-07 11:33:06,,0
5348,1,1,19,134,2017-11-07 11:38:58,,0
60454,23,1,19,153,2017-11-07 11:35:59,,0
83069,15,1,18,140,2017-11-07 11:47:47,,0
6124,18,1,3,121,2017-11-07 11:42:51,,0
5314,19,0,24,347,2017-11-07 11:34:49,,0
114220,3,1,13,442,2017-11-07 11:50:07,,0
109735,6,1,49,459,2017-11-07 11:48:46,,0
98439,15,1,1,245,2017-11-07 11:34:57,,0
179629,29,1,8,213,2017-11-07 11:41:43,2017-11-07 11:42:49,1
6603,6,1,35,459,2017-11-07 11:34:03,,0
134385,18,1,6,107,2017-11-07 11:46:36,,0
108913,11,1,4,481,2017-11-07 11:42:01,,0
5348,3,1,19,280,2017-11-07 11:34:32,,0
128113,64,1,19,459,2017-11-07 11:33:03,,0
121472,2,1,13,435,2017-11-07 11:49:27,,0
5348,18,1,10,107,2017-11-07 11:51:00,,0
77698,3,1,16,409,2017-11-07 11:42:09,,0
142941,12,1,13,178,2017-11-07 11:42:33,,0
188928,18,1,18,121,2017-11-07 11:36:10,,0
187243,9,1,8,258,2017-11-07 11:39:24,,0
5314,18,3032,607,107,2017-11-07 11:46:12,,0
186769,18,1,10,107,2017-11-07 11:36:36,,0
205203,8,2,13,145,2017-11-07 11:47:06,,0
188209,9,1,13,466,2017-11-07 11:45:13,,0
5348,3,1,10,480,2017-11-07 11:32:11,,0
190553,12,1,49,140,2017-11-07 11:33:03,,0
93587,19,0,24,347,2017-11-07 11:45:28,,0
152421,15,1,1,315,2017-11-07 11:45:59,,0
43431,26,1,17,121,2017-11-07 11:45:36,,0
89178,12,1,19,19,2017-11-07 11:32:46,,0
73279,15,1,13,265,2017-11-07 11:35:02,,0
198782,14,1,19,401,2017-11-07 11:38:10,,0
5843,3,1,17,280,2017-11-07 11:34:12,,0
181740,29,1,17,210,2017-11-07 11:46:56,2017-11-07 15:08:02,1
86513,64,1,23,459,2017-11-07 11:46:15,,0
68090,12,1,19,19,2017-11-07 11:48:29,,0
178323,14,1,32,489,2017-11-07 11:50:42,,0
65785,9,1,19,134,2017-11-07 11:43:57,,0
125022,6,1,16,125,2017-11-07 11:47:03,,0
99979,15,1,18,130,2017-11-07 11:40:38,,0
210049,24,1,13,105,2017-11-07 11:46:37,,0
87879,12,1,37,265,2017-11-07 11:35:32,,0
105889,18,1,13,107,2017-11-07 11:47:41,,0
86781,18,1,9,107,2017-11-07 11:36:36,,0
125608,14,1,19,480,2017-11-07 11:35:23,,0
25097,3,1,12,115,2017-11-07 11:47:39,,0
44067,29,1,23,343,2017-11-07 11:43:57,,0
37972,2,1,1,469,2017-11-07 11:41:23,,0
51361,12,1,19,178,2017-11-07 11:48:31,,0
133522,12,1,37,140,2017-11-07 11:37:13,,0
30179,18,3032,607,107,2017-11-07 11:35:17,,0
10207,3,1,41,280,2017-11-07 11:38:59,,0
163607,26,1,13,121,2017-11-07 11:48:24,,0
27526,2,1,19,258,2017-11-07 11:37:58,,0
111467,9,1,13,244,2017-11-07 11:39:40,,0
109070,2,1,20,435,2017-11-07 11:43:18,,0
84888,18,1,35,107,2017-11-07 11:36:49,,0
43166,15,1,19,412,2017-11-07 11:48:38,,0
5314,14,1,13,442,2017-11-07 11:32:52,,0
35951,18,1,1,107,2017-11-07 11:37:46,,0
103208,3,1,19,280,2017-11-07 11:34:36,,0
54125,9,1,19,466,2017-11-07 11:48:55,,0
109602,23,1,13,153,2017-11-07 11:35:55,,0
84774,6,1,16,459,2017-11-07 11:48:00,,0
37549,7,1,30,101,2017-11-07 11:34:03,,0
145934,14,1,13,442,2017-11-07 11:35:22,,0
202564,14,1,41,349,2017-11-07 11:41:31,,0
211363,3,1,19,409,2017-11-07 11:35:53,,0
2698,3,1,6,442,2017-11-07 11:42:24,,0
8035,18,1,3,107,2017-11-07 11:47:46,,0
20547,20,1,22,259,2017-11-07 11:45:53,,0
34738,23,1,20,153,2017-11-07 11:44:24,,0
71636,12,1,32,259,2017-11-07 11:42:15,,0
13634,9,1,19,445,2017-11-07 11:40:23,,0
67682,18,1,9,107,2017-11-07 11:32:19,,0
124375,1,1,15,153,2017-11-07 11:38:20,,0
131253,3,1,6,173,2017-11-07 11:40:41,,0
85966,3,2,16,402,2017-11-07 11:40:16,,0
48212,7,1,6,101,2017-11-07 11:31:56,,0
123896,3,1,13,130,2017-11-07 11:34:00,,0
83535,15,1,16,245,2017-11-07 11:40:42,,0
95501,2,1,47,401,2017-11-07 11:32:32,,0
152433,2,1,19,435,2017-11-07 11:33:39,,0
29567,3,1,17,280,2017-11-07 11:46:03,,0
150215,3,1,25,205,2017-11-07 11:41:04,,0
101511,28,1,22,135,2017-11-07 11:35:27,,0
17149,8,2,9,145,2017-11-07 11:41:14,,0
